buyercompany,cer,projectnumber,sector,industry,buyerstat,psize,locationregion,location,treat,buyercountry,investmentmus,subregion,yrs,stperiodktco2eyr,expectedaccumulated2020ktco2e,expectedaccumulated2030ktco2e,Africa_x,Asia & Pacific_x,Europe & Central Asia_x,Latin America_x,Middle-East_x,Asia & PacificP,Latin AmericaP,AfricaP,Middle-EastP,Europe & Central AsiaP,Africa_y,Asia & Pacific_y,Europe & Central Asia_y,Latin America_y,Middle-East_y,Africa,Asia & Pacific,Europe & Central Asia,Latin America,Middle-East
Climate Change Investment I S.A. SICAR,9.4700003,3,Financials,Asset Management,privatelocal,0.3333333333333333,Asia & Pacific,China,0.0,United K. ,14.6666673,East Asia,9.0,65.366666,613.3333333333334,1029.3333333333333,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Climate Change Investment II S.A. SICAR,9.4700003,1,Financials,Asset Management,privatelocal,0.0,Asia & Pacific,China,0.0,Luxembourg ,18.6,East Asia,7.0,68.900002,657.0,1346.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Climate Corporation Emissions Trading,11.491500125,20,Financials,Institutional Financial Svcs,privatelocal,0.9,Asia & Pacific,China,0.0,United K. ,24.660000504999996,East Asia,7.0,53.25000095,491.65,1024.35,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Climate Protection Finance,9.4700003,1,Financials,financial institutions,privatelocal,1.0,Asia & Pacific,China,0.0,Switzerland ,29.5,East Asia,7.0,42.700001,345.0,772.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Climate Protection Invest,9.804285971428572,14,Financials,financial institutions,privatelocal,1.0,Asia & Pacific,China,0.0,Switzerland ,12.247714128571427,East Asia,7.428571428571429,23.149999957142857,202.0,379.2857142857143,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
ConocoPhillips+Climate Bridge,12.44,1,Energy,"Oil, Gas & Coal",privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,61.099998,East Asia,7.0,101.3,882.0,1896.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Consus Energy,10.66,1,Financials,Specialty Finance,privatelocal,0.0,Asia & Pacific,China,0.0,Switzerland ,22.799999,East Asia,7.0,67.400002,539.0,1214.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Converging World,15.12,1,Foundation,0,Foundation,1.0,Asia & Pacific,India,1.0,United K. ,4.0,Southern Asia,7.0,7.8000002,76.0,154.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Credit Suisse,12.616000060000001,15,Financials,Institutional Financial Svcs,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,62.76666626666667,East Asia,7.0,168.02666813333332,1686.0,3364.133333333333,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
DASCO Partners,14.21,1,Business consulting and others,Environmental Services,privateglobal,0.0,Asia & Pacific,China,0.0,United K. ,66.699997,East Asia,7.0,115.1,1098.0,2059.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
